BUY,FXSUSDT,6.259,10000
BUY,VETUSDT,0.02435,10000
BUY,BNBUSDT,256.0,10000
BUY,BNBUSDT,255.9,10000
BUY,ILVUSDT,109.8,10000
SELL,ILVUSDT,109.8,109.8
BUY,BNBUSDT,255.9,255.4770000000003
SELL,BNBUSDT,255.9,255.9
BUY,NEOUSDT,9.69,9.654000000000016
SELL,NEOUSDT,9.69,9.69
BUY,IOTAUSDT,0.2892,0.2884824999999999
SELL,IOTAUSDT,0.2892,0.2899
BUY,ONGUSDT,0.3783,0.37754499999999963
SELL,ONGUSDT,0.3783,0.3783
BUY,REPUSDT,8.05,8.03479999999998
SELL,REPUSDT,8.05,8.05
BUY,VTHOUSDT,0.00202,0.0019861400000000013
SELL,VTHOUSDT,0.00202,0.00202
BUY,BNXUSDT,124.5,124.28249999999993
SELL,BNXUSDT,124.5,124.5
BUY,XECUSDT,3.959e-05,3.934679999999997e-05
SELL,XECUSDT,3.959e-05,3.933e-05
BUY,ATMUSDT,4.23,4.229250000000002
SELL,ATMUSDT,4.23,4.21
BUY,ICPUSDT,6.32,6.267549999999983
SELL,ICPUSDT,6.32,6.22
BUY,GBPUSDT,1.205,1.2047250000000036
SELL,GBPUSDT,1.205,1.204
BUY,PUNDIXUSDT,0.396,0.3951700000000001
SELL,PUNDIXUSDT,0.396,0.393
BUY,EURUSDT,1.0212,1.0209869999999999
SELL,EURUSDT,1.0212,1.0217
BUY,DEXEUSDT,4.651,4.390865
SELL,DEXEUSDT,4.651,4.553
